OBJECTID,Early_Yr,Late_Yr,GNIS_ID,GNIS_Name,Shape__Length
239,1981,2005,00248894,San Lorenzo River,451.806920754402
240,1989,2007,00266887,Klamath River,2157.7884226215
241,1961,2004,00218079,Albion River,3.67796650950049
242,1981,2005,00248894,San Lorenzo River,269.759063738976
243,1989,2007,00266887,Klamath River,7639.29047942824
244,1910,2004,01654946,Alameda Creek,9042.67289666255
245,1910,2004,,,7107.34551193119
246,1935,2006,,,10.858637578396
247,1946,2005,00250984,Ventura River,1608.54157579961
248,1953,2004,00253220,Guadalupe River,9734.27627096465
249,1956,2007,00223693,Forsythe Creek,1035.46035424663
250,1956,2007,00251974,Eel River,7409.3441709509
251,1958,2004,00228690,Mill Creek,1077.53620345139
252,1959,2005,00270301,Carmel River,302.341170965205
253,1961,2004,00234534,Rancheria Creek,2219.31908080115
254,1961,2005,00219249,Big Salmon Creek,243.363707528222
255,1962,2004,00228689,Mill Creek,15.3275819475309
256,1962,2004,00255040,Robinson Creek,42.6426729097569
257,1964,2004,00229679,North Fork Gualala River,4383.44419864776
258,1965,2004,01723332,Russian Gulch Creek,1920.89293677293
259,1966,2004,00237147,Wages Creek,0.0094366305348636
260,1966,2007,00267200,Russian River,854.384864520981
261,1970,2004,00227384,Little Sulphur Creek,4272.6774070133
262,1973,2004,00222846,East Austin Creek,1074.29551471813
263,1976,2004,00235310,Squaw Creek,5.83977636161374
264,1980,2004,00234080,James Creek,739.570741509072
265,1980,2007,,,38.0180436753076
266,1981,2004,00218782,Bean Creek,30.3398657892186
267,1981,2004,00218798,Bear Creek,16.6072182296187
268,1981,2004,00219687,Boulder Creek,3231.02147640691
269,1981,2004,00234882,Sonoma Creek,1110.6506064407
270,1981,2004,00253866,Browns Creek,1944.18999014517
271,1981,2004,00253912,Soquel Creek,3551.04461157292
272,1981,2005,00218820,Bear Creek,605.904620637467
273,1982,2004,00220677,Caspar Creek,9.86077269643209
274,1983,2004,00234972,South Fork Big River,678.388874054629
275,1983,2004,00236728,Two Log Creek,114.230725037013
276,1986,2004,00228238,Mattole River,1841.68823718505
277,1987,2006,00249095,Santa Paula Creek,6886.89734914886
278,1987,2006,,,1269.08649398494
279,1989,2004,00223983,Fuller Creek,1836.45706588778
280,1990,2005,00255305,"Sequit, Arroyo",207.654641363888
281,1992,2004,00231100,Purrington Creek,375.792549490883
282,1992,2005,00224105,Gazos Creek,1729.7698474968
283,1992,2007,00227317,Little North Fork Noyo River,351.193492541446
284,1993,2004,00222859,East Branch North Fork Big River,3558.99600385072
285,1993,2004,00231421,Redwood Creek,2545.05637364592
286,1994,2002,,,48.9070075426927
287,1994,2004,00221595,Corralitos Creek,1993.14369881734
288,1994,2004,00228432,McMullen Creek,37.0392315390551
289,1994,2004,00232037,Russell Brook,24.929162180347
290,1994,2004,00234794,Snuffins Creek,98.5875097021038
291,1994,2004,00255043,Rockport Creek,52.7793285632981
292,1994,2004,01654960,South Fork Cottaneva Creek,1515.50884123517
293,1994,2004,,,19.5485032431083
294,1994,2004,,,51.1266124647605
295,1994,2004,,,1762.16956623978
296,1994,2005,00224576,Green Valley Creek,14.0390094641608
297,1994,2005,00234452,Pescadero Creek,2455.10785538756
298,1994,2005,00254575,"Corte Madera Del Rprsidio, Arroyo",665.318392315404
299,1995,2002,,,377.021919024653
300,1995,2003,00228814,Mira Slough,196.844155160954
301,1995,2003,00253749,Petaluma River,13137.1963341433
302,1995,2003,00253817,San Antonio Creek,1067.22224053386
303,1995,2003,,,943.08848003208
304,1995,2004,00217957,Ackerman Creek,345.440052691556
305,1995,2004,00218466,Austin Creek,236.571393237425
306,1995,2004,00220029,Buckeye Creek,14194.5308868523
307,1995,2004,00223436,Felta Creek,119.068383166032
308,1995,2004,00268665,Van Duzen River,30145.1339409889
309,1995,2004,,,356.115842455148
310,1995,2004,,,102.275777145797
311,1995,2004,,,74.290925272864
312,1995,2004,,,76.8149089928993
313,1995,2004,,,45.0371983313137
314,1995,2004,,,73.8156275343336
315,1995,2004,,,227.805599743156
316,1995,2004,,,118.154189848659
317,1995,2004,,,524.812061508639
318,1995,2005,00218443,Atascadero Creek,7670.37065540058
319,1995,2005,,,2351.20930066436
320,1995,2007,00226042,Jack Smith Creek,82.5029203981309
321,1996,2004,00219834,Briggs Creek,1091.6169605112
322,1996,2004,00224171,Gilliam Creek,2157.76236353977
323,1996,2004,00232916,Sheephouse Creek,98.9000225644745
324,1996,2004,00234962,South Fork Albion River,219.001726940552
325,1996,2004,,,517.33308653085
326,1997,2004,00222756,Dutch Bill Creek,871.766036299315
327,1997,2004,00229250,Mud Slough,5466.61174812971
328,1997,2004,00255083,Coyote Creek,15080.6248088972
329,1997,2004,,,1991.51396337221
330,1997,2006,00246003,Mission Creek,2183.94513804167
331,1998,1998,00264212,North Fork Smith River,2373.46183465277
332,1998,2004,00217920,Mad River,4027.95277049647
333,1998,2004,00230478,Peña Creek,441.984645340909
334,1998,2004,00255113,North Fork Eel River,5088.49089884413
335,1999,2005,00221790,Craig Creek,2845.24300252011
336,1999,2005,00232314,Salt Creek,2323.1935385616
337,1999,2005,00249525,Sisquoc River,739.657907285923
338,1999,2005,00273633,Sespe Creek,1091.34135269986
339,1999,2007,00220910,Channel Slough,4052.55247333303
340,2000,2005,00270312,Carpinteria Creek,403.642477281047
341,2001,2005,00246127,Montecito Creek,701.91963514735
342,2001,2007,00236107,Tenmile Creek,8904.63193775857
343,2001,2007,00249724,South Fork Trinity River,7341.40752825287
344,2001,2007,00264217,North Fork Trinity River,31490.6943979646
345,2001,2007,00265769,Salt Creek,315.987159391849
346,2003,2005,00254998,Old River,8459.66284445685
347,2003,2005,,,91.0183160766185
348,2004,2010,00218873,Bear River,2860.70676259415
349,2004,2004,00220102,Bull Creek,2657.59103790021
350,2004,2004,00223930,Freshwater Slough,820.052826233465
351,2004,2004,00226868,Larabee Creek,1522.84979030395
352,2004,2004,00228058,Maple Creek,4557.06724986969
353,2004,2004,00230242,Pajaro River,5180.37951136978
354,2004,2004,00233910,Freshwater Creek,1687.52080843537
355,2004,2004,00255110,Napa River,3133.23106433007
356,2004,2004,00265348,Redwood Creek,1888.39287450483
357,2004,2004,00268345,Tomki Creek,5369.70699529587
358,2004,2005,00227344,Little River,1154.20653309258
359,2004,2005,00229693,North Fork Mad River,1039.82966849216
360,2004,2005,00255115,North Fork Elk River,2445.22460578508
361,2004,2005,01654961,South Fork Elk River,74.3859104402998
362,2004,2007,,,1976.16685628337
363,2005,2005,00264205,North Fork Salmon River,2949.85732508102
364,2005,2005,00267500,South Fork Salmon River,1455.72863773311
365,2005,2005,00272329,Manzana Creek,987.641242519828
366,2005,2005,,,136.364913743388
367,1990,1990,,,258.239455557207
368,1990,1990,,,408.734864719427
369,1992,1992,00234405,Ohman Creek,1861.84773888364
370,1992,1992,00241754,East Fork Arroyo Sequit,1207.41721718898
371,1992,1992,00261639,Hunter Creek,7675.3286346318
372,1992,1992,00268904,West Fork Hunter Creek,8302.91625192336
373,1992,1992,,,20.6583490208772
374,1993,1993,00223105,Elk Creek,2269.97750431938
375,1993,1993,00230681,Pine Creek,1027.67432881292
376,1993,1993,00233894,Foster Creek,5837.00026397172
377,1993,1993,,,6.78753614669441
378,1993,1993,,,1227.49468163701
379,1993,1993,,,568.35340647132
380,1994,1994,00220266,Butano Creek,117.582924163846
381,1994,1994,00224105,Gazos Creek,2185.39485928806
382,1994,1994,00231163,Raff Creek,1128.43955951129
383,1994,1994,00234288,Middle Fork Hardy Creek,80.7338242377822
384,1994,1994,00234831,Soda Fork,113.389659524582
385,1994,1994,00236324,Three Springs Creek,97.4119550432371
386,1994,1994,00237690,Whitehouse Creek,202.027247722825
387,1994,1994,00238493,Alder Creek,1266.23708630328
388,1994,1994,00243440,Higgins Creek,3570.20558594947
389,1994,1994,00245227,Lost Valley Creek,999.647818317661
390,1994,1994,00249905,Steiner Creek,5950.43209201574
391,1994,1994,00251908,Zigzag Creek,672.087282333704
392,1994,1994,00269818,Big Creek,718.871258189057
393,1994,1994,00269851,Big Sur River,2393.79597449423
394,1994,1994,00270448,Chorro Creek,561.316833394645
395,1994,1994,00273446,San Bernardo Creek,244.055764080078
396,1994,1994,,,1.24040932854577
397,1994,1994,,,224.007323775884
398,1994,1994,,,136.017140762218
399,1994,1994,,,559.223469731475
400,1994,1994,,,44.4649841939273
401,1994,1994,,,1548.10555271875
402,1994,1994,,,81.7316257025723
403,1994,1994,,,1578.12319448587
404,1994,1994,,,337.730900717607
405,1994,1994,238770,"Seco, Arroyo",16259.1325316312
406,1995,1995,00218718,Basin Creek,3568.52880196966
407,1995,1995,00220661,Cascade Creek,897.607439563712
408,1995,1995,00223863,Freezeout Creek,107.23648295452
409,1995,1995,00230769,Pipe Creek,7441.88642574224
410,1995,1995,00232277,Salmon Creek,892.810463138568
411,1995,1995,00256250,Angel Creek,637.556256634531
412,1995,1995,00261260,Hembrey Creek,1646.58940086487
413,1995,1995,,,108.79504859572
414,1995,1995,,,471.134763651468
415,1995,1995,,,479.269120983604
416,1995,1995,,,434.11785826724
417,1995,1995,,,67.1369654414946
418,1995,1995,,,118.162218974689
419,1996,1996,00218921,Beartrap Creek,713.101695950635
